"Código";"Descrição";"Categoria";"Fabricante";"Modelo";"Unidade";"Valor total";"Fonte"
"4570042";"Câmera CFTV Dome VIPC 1230 D G2";"Câmeras IP";"Intelbras";"";"un";"225,65";"EXSAT"
"4560094";"Câmera Dome VHD 1220 D Full Color Intelbras";"Câmera Multi HD";"Intelbras";"";"un";"146,39";"EXSAT"
"4564068";"Câmera Bullet VIP 3230 B SL G3 Intelbras IP 2MP";"Câmeras IP";"Intelbras";"";"un";"299,99";"EXSAT"
"4560051";"Câmera Dome CFTV VHL 1120 D G2 Intelbras";"Câmera HDVCI";"Intelbras";"";"un";"88,66";"EXSAT"
"4590016";"Câmera Im7 S Intelbras Full Color Wi-Fi 360 Externa";"Câmeras Wifi";"Intelbras";"";"un";"299,90";"EXSAT"
"4678100";"Mola Hidráulica Aérea MH 102 A para 45KG";"Mola Hidraulica";"Intelbras";"";"un";"131,11";"EXSAT"
"4520808";"Modulo Interno Videporteiro IVR1010MI Intelbras";"Videoporteiro";"Intelbras";"";"un";"384,42";"EXSAT"
"4671003";"Fechadura Eletroímã FE 150 Inox 12V Sem Sensor";"Fechadura Eletroímã";"Intelbras";"";"un";"327,30";"EXSAT"
"4501307";"Terminal Dedicado Porteiro Eletrônico XPE1013 ID";"Porteiro Eletrônico";"Intelbras";"";"un";"649,60";"EXSAT"
"000000000010006970";"Motor Basculante Gatter Plus STD 220V Nice - Alta Velocidade e Proteção";"Motores para portões";"Intelbras";"";"un";"514,99";"EXSAT"
"4842857";"Conector MC4 FM MC 1Via 1.5kV 45A (Par) para Sistemas Fotovoltaicos";"Cabos e Acessórios";"Intelbras";"";"un";"18,73";"EXSAT"
"4849840";"Cabo Solar Preto 1,5KV DC 4mm";"Cabos e Acessórios";"Intelbras";"";"un";"7,10";"EXSAT"
"4842811";"Arandela Solar Integrada ASI 220 Luz Branca";"Estrutura";"Intelbras";"";"un";"80,99";"EXSAT"
"4842810";"Arandela Solar Integrada ASI 220 Luz Amarela";"Estrutura";"Intelbras";"";"un";"80,99";"EXSAT"
"4821001";"Bateria VRLA 12V 6Ah XB 12AL Intelbras";"Baterias e Acessórios";"Intelbras";"";"un";"79,82";"EXSAT"
"4580771";"Gravador Digital de Vídeo MHDX 3108-C";"DVR Stand Alone 8 canais";"Intelbras";"";"un";"718,77";"EXSAT"
"4580778";"Gravador Dig 16 Canais Imhdx 3116 Intelbras";"DVR Stand Alone 16 canais";"Intelbras";"";"un";"1550,53";"EXSAT"
"4580716";"Gravador Digital de Vídeo MHDX 1116-C HD 2TB";"DVR Stand Alone 16 canais";"Intelbras";"";"un";"1693,71";"EXSAT"
"4581218";"Gravador Digital de Vídeo em Rede 16 Canais NVD 1516";"NVR 16 Canais";"Intelbras";"";"un";"959,76";"EXSAT"
"4581164";"Gravador Digital de Vídeo em Rede iNVD 3032";"DVR Stand Alone 32 canais";"Intelbras";"";"un";"2585,03";"EXSAT"
"4201251";"Telefone IP Intelbras TIP 125i";"Telefones";"Intelbras";"";"un";"233,68";"EXSAT"
"0006";"Esticador FE Preto para Cabos de Telefonia e Internet | Alta Resistência";"Acessórios e Peças";"Intelbras";"";"un";"0,93";"EXSAT"
"4080055";"Telefone Pleno Artico com Fio Cinza";"Telefones";"Intelbras";"";"un";"52,47";"EXSAT"
"4114002";"Interface Celular 4G Wi-Fi ICW 4002";"Gateway";"Intelbras";"";"un";"912,94";"EXSAT"
"4122510";"Telefone Sem Fio Intelbras TS 2510";"Telefones Sem Fio";"Intelbras";"";"un";"133,70";"EXSAT"
"4822201";"Nobreak ATTIV 600VA 220V Intelbras";"Nobreaks e Acessórios";"Intelbras";"";"un";"343,15";"EXSAT"
"4822200";"Nobreak ATTIV 600VA 120V Intelbras";"Nobreaks e Acessórios";"Intelbras";"";"un";"343,15";"EXSAT"
"4822212";"NOBREAK ATTIV 1500 VA BI Intelbras";"Nobreaks e Acessórios";"Intelbras";"";"un";"823,36";"EXSAT"
"4822208";"Nobreak Interativo ATTIV 1200VA 220V Intelbras";"Nobreaks e Acessórios";"Intelbras";"";"un";"658,33";"EXSAT"
"4630012";"Bloco De Iluminacao BLA 1202 Intelbras Autonomo";"Iluminação de Emergência";"Intelbras";"";"un";"163,33";"EXSAT"
"4780207";"Caixa de Emenda óptica XFCEO 5004M Intelbras";"Passivos de Fibra";"Intelbras";"";"un";"197,36";"EXSAT"
"10963";"Caixa de Emenda 24FO SVT-1 Band-Preta";"Passivos de Fibra";"Intelbras";"";"un";"208,97";"EXSAT"
"4750220";"Roteador Wi-Fi SR1041F Intelbras AX 3000 Wi-Fi 6";"Modens e Roteadores";"Intelbras";"";"un";"229,90";"EXSAT"
"4710010";"Injetor Conversor PoE Ativo Gigabit Ethernet PoE 200 AT";"Passivos de Fibra";"Intelbras";"";"un";"156,16";"EXSAT"
"10245";"Adaptador para fibra SC APC";"Conectores e Acessórios";"Intelbras";"";"un";"0,60";"EXSAT"
"4565614";"Câmera Wi-Fi Full HD iMX C com MicroSD 32GB";"Câmeras Wifi";"Intelbras";"";"un";"329,90";"EXSAT"
"4820155";"Conversor Automático AC/DC EF 1210+ 12,8V 10A";"Fontes de Alimentação";"Intelbras";"";"un";"159,02";"EXSAT"
"4543544";"Sirene 105 dB SIR 1000 Branca";"Sirenes";"Intelbras";"";"un";"25,47";"EXSAT"
"4542300";"Central de Alarme AMT 4010 SMART";"Alarmes";"Intelbras";"";"un";"469,77";"EXSAT"
"4290009";"Mouse Sem Fio Intelbras MSI 50 Preto USB 2.0";"Mouse e Teclado";"Intelbras";"";"un";"43,60";"EXSAT"
"4140700";"Conversor Digital de TV e Gravador CD 700";"Receptores";"Intelbras";"";"un";"91,11";"EXSAT"
"4293100";"Teclado Intelbras TCI10 com Fio Preto";"Mouse e Teclado";"Intelbras";"";"un";"46,76";"EXSAT"
"4830079";"Cabo USB-C 1,2M Intelbras EUCC 12PP Preto";"Cabos USB e Carregadores";"Intelbras";"";"un";"20,34";"EXSAT"
"4294200";"Combo Teclado e Mouse Intelbras CSI50 Sem Fio Preto";"Mouse e Teclado";"Intelbras";"";"un";"109,77";"EXSAT"
"4684016";"Etiqueta de Acionamento RFID Veicular TH 3010 900MHz";"Leitores e Coletores";"Intelbras";"";"un";"4,00";"EXSAT"
"4684015";"Chaveiro Acionador por Aproximação RFID 13,56MHz TH 1000 MF";"Leitores e Coletores";"Intelbras";"";"un";"4,41";"EXSAT"
"4502101";"Terminal Dedicado TDMI 300 Intelbras";"Porteiro Eletrônico";"Intelbras";"";"un";"54,53";"EXSAT"
"4684003";"Cartão Acionado por Aproximação RFID 13.56 MHz TH 2000 MF";"Acessórios Controle de Acesso";"Intelbras";"";"un";"6,75";"EXSAT"
"4684001";"Cartão de Aproximação RFID 125kHz TH 2000";"Acessórios Controle de Acesso";"Intelbras";"";"un";"4,01";"EXSAT"
"4684017";"Pulseira Acionada por Aproximação RFID 13,56MHz TH 4000 MF";"Leitores e Coletores";"Intelbras";"";"un";"14,11";"EXSAT"
"4665032";"Controle Remoto para Automatizadores EP 02";"Acessórios Controle de Acesso";"Intelbras";"";"un";"24,68";"EXSAT"
"4661702";"Cremalheira de Alumínio com Gomos de ABS 1,0M";"Cremalheira";"Intelbras";"";"un";"28,19";"EXSAT"
"4521020";"Porteiro Residencial IPR 1010";"Porteiro Eletrônico";"Intelbras";"";"un";"173,17";"EXSAT"
"000000000010006960";"Motor Basculante Gatter Plus STD 127V Nice - Alta Velocidade e Proteção";"Motores para portões";"Intelbras";"";"un";"514,99";"EXSAT"
"4541033";"Transmissor Universal TX 8000";"Acessórios Controle de Acesso";"Intelbras";"";"un";"98,40";"EXSAT"
"4675012";"Acionador Abertura Infravermelho BT 4000";"Acessórios Controle de Acesso";"Intelbras";"";"un";"172,68";"EXSAT"
"4671095";"Fechadura Eletroímã FE 20150 Prata com Sensor";"Fechadura Eletroímã";"Intelbras";"";"un";"266,25";"EXSAT"
"4666000";"Botoeira sem fio BT 100 Intelbras de Automação";"Acessórios Controle de Acesso";"Intelbras";"";"un";"44,52";"EXSAT"
"4684012";"Chaveiro RFID por Proximidade 125 kHz TH1000 Intelbras";"Acessórios para Fechaduras";"Intelbras";"";"un";"4,41";"EXSAT"
"4660353";"Automatizador de Portão DR 400 AL 127V";"Motores para portões";"Intelbras";"";"un";"449,99";"EXSAT"
"4682036";"Controlador de Acesso Digiprox SA 202";"Acessórios Controle de Acesso";"Intelbras";"";"un";"234,98";"EXSAT"
"4520018";"Video Porteiro com Monofone IVR 4 Intelbras";"Videoporteiro";"Intelbras";"";"un";"534,71";"EXSAT"
"4500027";"Central Coletiva Collective 8I";"Central Coletiva";"Intelbras";"";"un";"771,32";"EXSAT"
"4666100";"Modulo APP Strat ST 100";"Acessórios e Peças";"Intelbras";"";"un";"199,99";"EXSAT"
"4679060";"Fechadura Elétrica FX 1500 Cinza";"Fechadura Elétrica";"Intelbras";"";"un";"171,06";"EXSAT"
"4520058";"Video Porteiro Allo WT7 Lite";"Videoporteiro";"Intelbras";"";"un";"1652,99";"EXSAT"
"4504500";"Chaveiro RFID Mifare XID1000";"Acessórios Controle de Acesso";"Intelbras";"";"un";"8,88";"EXSAT"
"4521010";"Porteiro Residencial IPR 8010";"Porteiro Eletrônico";"Intelbras";"";"un";"203,85";"EXSAT"
"4521810";"EXTENSAO DE AUDIO PARA INTERFONIA 1010 EA";"Porteiro Eletrônico";"Intelbras";"";"un";"82,89";"EXSAT"
